nonlinearity,lambda,Delta,p_n,n_d,gen_error
sign,1.0,0.5,0.6,2.0,0.5494716440068895
sign,1.0,0.5,0.7,2.0,0.5137410415788408
sign,1.0,0.5,0.8,2.0,0.48522261115108567
sign,1.0,0.5,0.9,2.0,0.46208585799490154
sign,1.0,0.5,1.0,2.0,0.4430208706005515
sign,1.0,0.5,1.1,2.0,0.4270861131291841
sign,1.0,0.5,1.2,2.0,0.41359655780316495
sign,1.0,0.5,1.3,2.0,0.4020463701560283
sign,1.0,0.5,1.4,2.0,0.3920560695325995
sign,1.0,0.5,1.5,2.0,0.3833366629163748
sign,1.0,0.5,1.6,2.0,0.3756648637308452
sign,1.0,0.5,1.7,2.0,0.36886582276100766
sign,1.0,0.5,1.8,2.0,0.36280091196533715
sign,1.0,0.5,1.9,2.0,0.3573589581311417
sign,1.0,0.5,2.0,2.0,0.3524498635373653
sign,1.0,0.5,2.1,2.0,0.3479999010667868
sign,1.0,0.5,2.2,2.0,0.3439481999724733
sign,1.0,0.5,2.3,2.0,0.3402440894755664
sign,1.0,0.5,2.4,2.0,0.33684506820739357
sign,1.0,0.5,2.5,2.0,0.33371523571091344
sign,1.0,1.0,0.3,2.0,0.7832281706763026
sign,1.0,1.0,0.4,2.0,0.7102295279109088
sign,1.0,1.0,0.5,2.0,0.651143118429714
sign,1.0,1.0,0.6,2.0,0.604034718908618
sign,1.0,1.0,0.7,2.0,0.5663237467211408
sign,1.0,1.0,0.8,2.0,0.5357926384995247
sign,1.0,1.0,0.9,2.0,0.5107396782432864
sign,1.0,1.0,1.0,2.0,0.48990302613749603
sign,1.0,1.0,1.1,2.0,0.47235232139040684
sign,1.0,1.0,1.2,2.0,0.45739740132015727
sign,1.0,1.0,1.3,2.0,0.44452068868036865
sign,1.0,1.0,1.4,2.0,0.4333289527909633
sign,1.0,1.0,1.5,2.0,0.4235195219369967
sign,1.0,1.0,1.6,2.0,0.4148564070881172
sign,1.0,1.0,1.7,2.0,0.4071533531555681
sign,1.0,1.0,1.8,2.0,0.40026166855867784
sign,1.0,1.0,1.9,2.0,0.39406138134024815
sign,1.0,1.0,2.0,2.0,0.3884547339284995
sign,1.0,1.0,2.1,2.0,0.3833613404752868
sign,1.0,1.0,2.2,2.0,0.3787145399776569
sign,1.0,1.0,2.3,2.0,0.3744586195060279
sign,1.0,1.0,2.4,2.0,0.370546677786469
sign,1.0,1.0,2.5,2.0,0.36693896522691327
